date,traffic,page_name
2019-02-07,350.0,Back to the Future (Japanese Wikipedia)
2019-02-08,813.0,Back to the Future (Japanese Wikipedia)
2019-02-09,496.0,Back to the Future (Japanese Wikipedia)
2019-02-10,422.0,Back to the Future (Japanese Wikipedia)
2019-02-11,381.0,Back to the Future (Japanese Wikipedia)
2019-02-12,506.0,Back to the Future (Japanese Wikipedia)
2019-02-13,364.0,Back to the Future (Japanese Wikipedia)
2019-02-14,411.0,Back to the Future (Japanese Wikipedia)
2019-02-15,398.0,Back to the Future (Japanese Wikipedia)
2019-02-16,372.0,Back to the Future (Japanese Wikipedia)
2019-02-17,384.0,Back to the Future (Japanese Wikipedia)
2019-02-18,430.0,Back to the Future (Japanese Wikipedia)
2019-02-19,436.0,Back to the Future (Japanese Wikipedia)
2019-02-20,406.0,Back to the Future (Japanese Wikipedia)
2019-02-21,378.0,Back to the Future (Japanese Wikipedia)
2019-02-22,367.0,Back to the Future (Japanese Wikipedia)
2019-02-23,346.0,Back to the Future (Japanese Wikipedia)
2019-02-24,283.0,Back to the Future (Japanese Wikipedia)
2019-02-25,364.0,Back to the Future (Japanese Wikipedia)
2019-02-26,405.0,Back to the Future (Japanese Wikipedia)
2019-02-27,343.0,Back to the Future (Japanese Wikipedia)
2019-02-28,369.0,Back to the Future (Japanese Wikipedia)
2019-03-01,351.0,Back to the Future (Japanese Wikipedia)
2019-03-02,314.0,Back to the Future (Japanese Wikipedia)
2019-03-03,335.0,Back to the Future (Japanese Wikipedia)
2019-03-04,648.0,Back to the Future (Japanese Wikipedia)
2019-03-05,562.0,Back to the Future (Japanese Wikipedia)
2019-03-06,637.0,Back to the Future (Japanese Wikipedia)
2019-03-07,444.0,Back to the Future (Japanese Wikipedia)
2019-03-08,375.0,Back to the Future (Japanese Wikipedia)
2019-03-09,348.0,Back to the Future (Japanese Wikipedia)
2019-03-10,380.0,Back to the Future (Japanese Wikipedia)
2019-03-11,405.0,Back to the Future (Japanese Wikipedia)
2019-03-12,393.0,Back to the Future (Japanese Wikipedia)
2019-03-13,354.0,Back to the Future (Japanese Wikipedia)
2019-03-14,332.0,Back to the Future (Japanese Wikipedia)
2019-03-15,458.0,Back to the Future (Japanese Wikipedia)
2019-03-16,335.0,Back to the Future (Japanese Wikipedia)
2019-03-17,351.0,Back to the Future (Japanese Wikipedia)
2019-03-18,380.0,Back to the Future (Japanese Wikipedia)
2019-03-19,380.0,Back to the Future (Japanese Wikipedia)
2019-03-20,361.0,Back to the Future (Japanese Wikipedia)
2019-03-21,312.0,Back to the Future (Japanese Wikipedia)
2019-03-22,370.0,Back to the Future (Japanese Wikipedia)
2019-03-23,313.0,Back to the Future (Japanese Wikipedia)
2019-03-24,312.0,Back to the Future (Japanese Wikipedia)
2019-03-25,337.0,Back to the Future (Japanese Wikipedia)
2019-03-26,338.0,Back to the Future (Japanese Wikipedia)
2019-03-27,347.0,Back to the Future (Japanese Wikipedia)
2019-03-28,261.0,Back to the Future (Japanese Wikipedia)
2019-03-29,310.0,Back to the Future (Japanese Wikipedia)
2019-03-30,355.0,Back to the Future (Japanese Wikipedia)
2019-03-31,287.0,Back to the Future (Japanese Wikipedia)
2019-04-01,312.0,Back to the Future (Japanese Wikipedia)
2019-04-02,331.0,Back to the Future (Japanese Wikipedia)
2019-04-03,344.0,Back to the Future (Japanese Wikipedia)
2019-04-04,311.0,Back to the Future (Japanese Wikipedia)
2019-04-05,337.0,Back to the Future (Japanese Wikipedia)
2019-04-06,340.0,Back to the Future (Japanese Wikipedia)
2019-04-07,362.0,Back to the Future (Japanese Wikipedia)
2019-04-08,299.0,Back to the Future (Japanese Wikipedia)
2019-04-09,285.0,Back to the Future (Japanese Wikipedia)
